【惊抓抓】	形容声音尖利刺耳，或大惊小怪的样子
【克】	"去"的意思，同"去"
【洗白】	①完蛋、没了 ②输光、赔光
【崽儿】	①小子（带亲昵或轻蔑）②年轻人
【扯拐】	出故障、出问题（多指机械）
【相因】	便宜、价格低廉
【紧到】	一直、不停地（表持续状态）
【琛直】	笔直、非常直（"琛"表程度深）
【除脱】	①丢失、没了 ②解决（人或事）
【朗个】	怎么、如何（疑问词）
【飞叉叉】	形容动作迅速、风风火火的样子
【烦造造】	非常脏、邋遢不堪
【扭】	①扭动身体 ②反复摆弄
【捞肠寡肚】	胃里难受、反胃想吐
【搭扑爬】	摔跤、跌倒在地
【假巴意思】	假装、故作姿态
【水凼凼】	小水坑、积水洼
【俗杂杂】	俗气、土里土气
【亮瓦瓦】	非常光亮、亮得刺眼
【梭边边】	溜边、逃避责任
【理麻】	教训、收拾（某人）
【各人】	自己、本人
【俩】	你（第二人称代词）
【鬼火戳】	非常生气、火冒三丈
【板扎】	扎实、质量好
【弯酸】	刁难、故意为难人
【扯把子】	说谎、编造借口
【灯儿晃】	闲逛、无所事事
【楼得很】	很脏、满是污垢
【踏削】	贬低、看不起人
【哈哈】	大家、所有人
【雄起】	加油、振作精神
【舌老（了）】	丢失、不见了
【登度】	形容男孩帅气、俊朗
【嘿起】	使劲、用力
【火瞟瞟】	灼痛感、火辣辣的疼
【矿西西】	糊涂、神志不清
【瞎块儿】	青蛙（方言称呼）
【巢冲（虫）】	蛔虫（方言称呼）
【客西头儿】	膝盖
【手倒管儿】	手肘
【啪唧唧】	软绵绵、松软状
【杀铁】	打扫、清理
【先浑儿】	刚才、不久前
【过细】	仔细、认真
【估倒犟】	固执己见、强词夺理
【歪货】	假货、劣质品
【老火】	严重、麻烦
【罗兜】	屁股（多指人）
【开腔】	说话、开口
【皮搭嘴歪】	累得精疲力尽的样子
【惊风火扯】	惊慌失措、大呼小叫
【张视】	搭理、理会
【呜嘘呐喊】	大声喧哗、吵吵嚷嚷
【磨皮擦痒】	坐立不安、闲不住
【遭奏】	被整、被弄坏
【巴适得板】	非常舒服、极其安逸
【哈戳戳】	傻乎乎、呆头呆脑
【耍朋友】	谈恋爱
【憨吃哈胀】	暴饮暴食、胡吃海塞
【嘎嘎】	肉（儿语）
【揩】	擦、抹
【洗涮】	嘲笑、戏弄
【勒哈】	这下、现在
【丁丁猫儿】	蜻蜓
【格蚤儿】	跳蚤
【高耸耸】	很高、高耸状
【低低嘎嘎】	很少、一点点
【念栋栋】	黏糊糊、粘稠状
【爪瞌睡】	打瞌睡
【款到老（了）】	碰到、撞到
【雀到】	看到、瞧见
【板旋儿】	耍赖、抵赖
【拼】	①送 ②给（东西）
【索索滩儿】	滑梯（儿童设施）
【将才】	刚才
【呛哈子】	等一下
【板痧】	在椅子上扭动
【精风活扯】	精神亢奋、活蹦乱跳
【耙耳朵】	怕老婆的人
【少午】	午饭
【撇脱】	方便、省事
【鼓到】	强迫、硬要
【落教】	靠谱、守规矩
【过孽】	吵架、闹矛盾
【行实】	能干、厉害
【千帆】	调皮、不听话
【啷个】	怎么、为什么
【核人巴煞】	吓人、恐怖
【乌二麻杂】	乱七八糟、混乱不清
【舞饭】	做饭、弄饭
【打落】	遗失、掉落
【冲壳子】	吹牛、说大话
【安逸惨咯】	非常舒服、极其享受
【假打】	装模作样、假惺惺
【瓜兮兮】	傻乎乎的样子
【骇（鞋）子】	鞋子
【扯谎咧白】	说谎骗人
【甜咪咪】	甜丝丝、微甜
【尖板眼】	新奇玩意、高科技产品
【倒拐】	转弯
【打梦脚】	打瞌睡、精神不集中
【背时】	倒霉、活该
【你娃】	你这家伙（带戏谑）
【兄弟伙】	好兄弟、哥们
【杂皮】	小混混、流氓
【告花子】	乞丐
【哨皮】	丢脸、出丑
【麻脱】	推脱、逃避
【冒皮皮】	吹牛、说大话
【闷墩】	呆头呆脑的人
【搁平】	摆平、解决
【打锤】	打架
【神戳戳】	神经兮兮
【要得】	好的、可以
【渠算儿】	蚯蚓
【雀雀儿】	小鸟
【爪母儿】	蚱蜢
【偷油婆】	蟑螂
【照鸡儿】	蛐蛐儿
【雾独独】	冷不防、突然
【打王逛】	走神、注意力不集中
【副开】	移开、挪走
【嘿（很）】	非常、很（程度副词）
【杯话】	不听话、叛逆
【吱】	擦拭
【婆娘】	老婆
【决】	骂
【长的乖】	长得漂亮
【歇】	哭
【脚入老（了）】	脚崴了
【背油】	郁闷、烦躁
【菊】	吮吸
【西得好】	幸好、幸亏
【恍兮兮】	精神恍惚、迷糊不清醒
【三不子儿滴】	偶尔、时不时地
【黄泥西湖】	含混不清、表达混乱
【岔巴子】	多嘴多舌、爱管闲事的人
【掉底子】	丢脸、出丑
【边哈】	旁边、附近
【扎起】	支持、撑腰
【打平伙】	AA制聚餐
【半响】	半天、许久
【潽】	液体沸腾溢出
【肿脖子】	好吃懒做
【渣精】	挑剔、斤斤计较
【哈数】	分寸、把握
【暗到】	暗自以为、私下猜想
【匀尽】	舒适安逸、小富即安
【柳到】	纠缠、缠住不放
【打老壳】	头疼、麻烦事
【拽实】	结实健壮
【想精想怪】	胡思乱想、异想天开
【恍儿胡兮】	糊涂健忘、丢三落四
【假把意思】	装模作样、假客气
【瞌睡迷西】	睡眼惺忪、困倦不堪
【财迷豁眼】	财迷心窍、吝啬小气
【牙尖舌怪】	伶牙俐齿、爱搬弄是非
【踏踏】	地方、处所
【半中拦腰】	中途、半截
【麻麻咋咋】	马马虎虎、将就
【洋】	得意洋洋、显摆
【咔咔戈戈】	角落缝隙
【幺妹儿】	小妹、小姑娘
【光洞洞】	光着身子、衣不蔽体
【拐场】	糟糕、出问题
【摆龙门阵】	聊天闲谈
【倒拐子】	手肘
【打脑壳】	头疼、棘手
【岔巴】	插嘴、多话
【弄归一】	办妥、完成
【刹角】	收尾、结束
【裹筋】	纠缠不休、磨叽
【么斯】	什么（武汉方言）
【铆起】	拼命、使劲
【少吃哈胀】	狼吞虎咽（程度较轻）
【嘀哆】	唠叨、啰嗦
【闹眼子】	闹着玩、不正经
【过早】	吃早餐（湖北方言）
【闷出出】	沉默寡言
【尾哒】	跟着、尾随
【翻敲】	反悔、变卦
【不服周】	不服气（湖北方言）
【刹割】	结束、停止
【灵醒】	聪明伶俐
【一哈（下）】	一会儿、一下子
【归一】	完成、了结
【虾爬】	小混混、无赖
【遇得到】	真倒霉（表抱怨）
【杀馆子】	下馆子吃饭
【龙豁皮】	土里土气、不入流
【空哨】	聪明机灵
【棱】	①用手指理顺 ②夹取
【方脑壳】	死脑筋、不灵活
【少幺爸】	小混混、街溜子
【划得着】	划算、值得
【菜背兜】	垫背的、总输的人
【霸道】	厉害、了不起
【巴心不得】	巴不得、非常希望
【该背时】	活该倒霉
【二麻二麻】	半醉状态
【呵别个】	骗人
【瓜娃子】	傻子（较亲昵）
【旷老（了）】	傻了、懵了
【划不着】	不划算、吃亏
【估倒】	强迫、硬要
【造孽】	可怜
【该遭】	活该
【嘿们】	非常、很（程度副词）
【金啊子】	知了
【哈老壳】	脑袋
【瞎孔】	胳肢窝
【座登儿】	猪屁股（多指动物）
【逛（光）】	光溜溜
